BldgType,CentralAir,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,EnclosedPorch,Fireplaces,FullBath,GarageArea,GarageCars,GarageYrBlt,GrLivArea,HalfBath,KitchenAbvGr,LotArea,LotFrontage,LowQualFinSF,MSSubClass,MasVnrArea,MiscVal,MoSold,OpenPorchSF,OverallCond,OverallQual,PoolArea,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,SalePrice
1Fam,Y,856,854,0,3,706,0,1,0,150,0,0,2,548,2,2003,1710,1,1,8450,65,0,60,196,0,2,61,5,7,0,0,8,856,0,2003,2003,2008,208500
1Fam,Y,1262,0,0,3,978,0,0,1,284,0,1,2,460,2,1976,1262,0,1,9600,80,0,20,0,0,5,0,8,6,0,0,6,1262,298,1976,1976,2007,181500
1Fam,Y,920,866,0,3,486,0,1,0,434,0,1,2,608,2,2001,1786,1,1,11250,68,0,60,162,0,9,42,5,7,0,0,6,920,0,2001,2002,2008,223500
1Fam,Y,961,756,0,3,216,0,1,0,540,272,1,1,642,3,1998,1717,0,1,9550,60,0,70,0,0,2,35,5,7,0,0,7,756,0,1915,1970,2006,140000
1Fam,Y,1145,1053,0,4,655,0,1,0,490,0,1,2,836,3,2000,2198,1,1,14260,84,0,60,350,0,12,84,5,8,0,0,9,1145,192,2000,2000,2008,250000
1Fam,Y,796,566,320,1,732,0,1,0,64,0,0,1,480,2,1993,1362,1,1,14115,85,0,50,0,700,10,30,5,5,0,0,5,796,40,1993,1995,2009,143000
1Fam,Y,1694,0,0,3,1369,0,1,0,317,0,1,2,636,2,2004,1694,0,1,10084,75,0,20,186,0,8,57,5,8,0,0,7,1686,255,2004,2005,2007,307000
1Fam,Y,1107,983,0,3,859,32,1,0,216,228,2,2,484,2,1973,2090,1,1,10382,101.8920998,0,60,240,350,11,204,6,7,0,0,7,1107,235,1973,1973,2009,200000
1Fam,Y,1022,752,0,2,0,0,0,0,952,205,2,2,468,2,1931,1774,0,2,6120,51,0,50,0,0,4,0,5,7,0,0,8,952,90,1931,1950,2008,129900
2fmCon,Y,1077,0,0,2,851,0,1,0,140,0,2,1,205,1,1939,1077,0,2,7420,50,0,190,0,0,1,4,6,5,0,0,5,991,0,1939,1950,2008,118000
1Fam,Y,1040,0,0,3,906,0,1,0,134,0,0,1,384,1,1965,1040,0,1,11200,70,0,20,0,0,2,0,5,5,0,0,5,1040,0,1965,1965,2008,129500
1Fam,Y,1182,1142,0,4,998,0,1,0,177,0,2,3,736,3,2005,2324,0,1,11924,85,0,60,286,0,7,21,5,9,0,0,11,1175,147,2005,2006,2006,345000
1Fam,Y,912,0,0,2,737,0,1,0,175,0,0,1,352,1,1962,912,0,1,12968,113.8771268,0,20,0,0,9,0,6,5,0,176,4,912,140,1962,1962,2008,144000
1Fam,Y,1494,0,0,3,0,0,0,0,1494,0,1,2,840,3,2006,1494,0,1,10652,91,0,20,306,0,8,33,5,7,0,0,7,1494,160,2006,2007,2007,279500
1Fam,Y,1253,0,0,2,733,0,1,0,520,176,1,1,352,1,1960,1253,1,1,10920,104.4988038,0,20,212,0,5,213,5,6,0,0,5,1253,0,1960,1960,2008,157000
1Fam,Y,854,0,0,2,0,0,0,0,832,0,0,1,576,2,1991,854,0,1,6120,51,0,45,0,0,7,112,8,7,0,0,5,832,48,1929,2001,2007,132000
1Fam,Y,1004,0,0,2,578,0,1,0,426,0,1,1,480,2,1970,1004,0,1,11241,59.91111111,0,20,180,700,3,0,7,6,0,0,5,1004,0,1970,1970,2010,149000
Duplex,Y,1296,0,0,2,0,0,0,0,0,0,0,2,516,2,1967,1296,0,2,10791,72,0,90,0,500,10,0,5,4,0,0,6,0,0,1967,1967,2006,90000
1Fam,Y,1114,0,0,3,646,0,1,0,468,0,0,1,576,2,2004,1114,1,1,13695,66,0,20,0,0,6,102,5,5,0,0,6,1114,0,2004,2004,2008,159000
1Fam,Y,1339,0,0,3,504,0,0,0,525,0,0,1,294,1,1958,1339,0,1,7560,70,0,20,0,0,5,0,6,5,0,0,6,1029,0,1958,1965,2009,139000
1Fam,Y,1158,1218,0,4,0,0,0,0,1158,0,1,3,853,3,2005,2376,1,1,14215,101,0,60,380,0,11,154,5,8,0,0,9,1158,240,2005,2006,2006,325300
1Fam,Y,1108,0,0,3,0,0,0,0,637,205,1,1,280,1,1930,1108,0,1,7449,57,0,45,0,0,6,0,7,7,0,0,6,637,0,1930,1950,2007,139400
1Fam,Y,1795,0,0,3,0,0,0,0,1777,0,1,2,534,2,2002,1795,0,1,9742,75,0,20,281,0,9,159,5,8,0,0,7,1777,171,2002,2002,2008,230000
TwnhsE,Y,1060,0,0,3,840,0,1,0,200,0,1,1,572,2,1976,1060,0,1,4224,44,0,120,0,0,6,110,7,5,0,0,6,1040,100,1976,1976,2007,129900
1Fam,Y,1060,0,0,3,188,668,1,0,204,0,1,1,270,1,1968,1060,0,1,8246,90.80748868,0,20,0,0,5,90,8,5,0,0,6,1060,406,1968,2001,2010,154000
1Fam,Y,1600,0,0,3,0,0,0,0,1566,0,1,2,890,3,2007,1600,0,1,14230,110,0,20,640,0,7,56,5,8,0,0,7,1566,0,2007,2007,2009,256300
1Fam,Y,900,0,0,3,234,486,0,1,180,0,0,1,576,2,2005,900,0,1,7200,60,0,20,0,0,5,32,7,5,0,0,5,900,222,1951,2000,2010,134800
1Fam,Y,1704,0,0,3,1218,0,1,0,486,0,1,2,772,3,2008,1704,0,1,11478,98,0,20,200,0,5,50,5,8,0,0,7,1704,0,2007,2008,2010,306000
1Fam,Y,1600,0,0,2,1277,0,1,0,207,0,2,1,319,1,1957,1600,0,1,16321,47,0,20,0,0,12,258,6,5,0,0,6,1484,288,1957,1997,2006,207500
1Fam,N,520,0,0,1,0,0,0,0,520,87,0,1,240,1,1920,520,0,1,6324,60,0,30,0,0,5,0,6,4,0,0,4,520,49,1927,1950,2008,68500
1Fam,N,649,668,0,3,0,0,0,0,649,172,0,1,250,1,1920,1317,0,1,8500,50,0,70,0,0,7,54,4,4,0,0,6,649,0,1920,1950,2008,40000
1Fam,Y,1228,0,0,3,0,0,0,0,1228,0,0,1,271,1,1966,1228,1,1,8544,59.91111111,0,20,0,0,6,65,6,5,0,0,6,1228,0,1966,2006,2008,149350
1Fam,Y,1234,0,0,3,0,0,0,0,1234,0,0,2,484,2,2007,1234,0,1,11049,85,0,20,0,0,1,30,5,8,0,0,7,1234,0,2007,2007,2008,179900
1Fam,Y,1700,0,0,4,1018,0,0,1,380,0,1,1,447,2,1959,1700,1,1,10552,70,0,20,0,0,4,38,5,5,0,0,6,1398,0,1959,1959,2010,165500
TwnhsE,Y,1561,0,0,2,1153,0,1,0,408,0,1,2,556,2,2005,1561,0,1,7313,60,0,120,246,0,8,47,5,9,0,0,6,1561,203,2005,2005,2007,277500
1Fam,Y,1132,1320,0,4,0,0,0,0,1117,0,1,3,691,3,2004,2452,1,1,13418,108,0,60,132,0,9,32,5,8,0,0,9,1117,113,2004,2005,2006,309000
1Fam,Y,1097,0,0,3,0,0,0,0,1097,0,0,1,672,2,1995,1097,1,1,10859,112,0,20,0,0,6,64,5,5,0,0,6,1097,392,1994,1995,2009,145000
1Fam,Y,1297,0,0,3,1213,0,0,1,84,0,1,1,498,2,1954,1297,0,1,8532,74,0,20,650,0,10,0,6,5,0,0,5,1297,0,1954,1990,2009,153000
1Fam,Y,1057,0,0,3,731,0,1,0,326,0,0,1,246,1,1953,1057,0,1,7922,68,0,20,0,0,1,52,7,5,0,0,5,1057,0,1953,2007,2010,109000
1Fam,Y,1324,0,0,3,643,0,0,0,445,0,1,2,440,2,1965,1324,0,1,8658,84,0,20,101,0,12,138,5,6,0,0,6,1088,0,1965,1965,2006,160000
1Fam,Y,1328,0,0,2,967,0,0,1,383,0,2,1,308,1,1959,1328,1,1,16905,115,0,20,0,0,7,104,6,5,0,0,5,1350,0,1959,1959,2007,170000
1Fam,Y,884,0,0,2,747,93,1,0,0,0,0,1,504,2,1983,884,0,1,9180,59.91111111,0,85,0,0,12,0,7,5,0,0,5,840,240,1983,1983,2007,144000
1Fam,Y,938,0,0,3,280,491,1,0,167,0,0,1,308,1,1977,938,0,1,9200,59.91111111,0,20,0,0,7,0,6,5,0,0,5,938,145,1975,1980,2008,130250
1Fam,Y,1150,0,0,3,179,506,1,0,465,0,0,1,300,1,1959,1150,0,1,7945,70,0,20,0,0,5,0,6,5,0,0,6,1150,0,1959,1959,2006,141000
TwnhsE,Y,1752,0,0,2,456,0,1,0,1296,0,1,2,576,2,2005,1752,0,1,7658,61,0,120,412,0,2,82,5,9,0,0,6,1752,196,2005,2005,2010,319900
1Fam,Y,1518,631,0,1,1351,0,1,0,83,0,1,1,670,2,2003,2149,1,1,12822,48,0,50,0,0,8,43,5,7,0,198,6,1434,168,2003,2003,2009,239686
1Fam,Y,1656,0,0,3,24,0,0,0,1632,0,0,2,826,3,2006,1656,0,1,11096,84,0,20,0,0,7,146,5,8,0,0,7,1656,0,2006,2006,2007,249700
1Fam,Y,955,0,0,3,763,0,1,0,192,0,0,1,386,1,1966,955,0,1,7742,66,0,20,0,0,1,0,7,5,0,0,6,955,0,1966,1966,2007,127000
